Date,Power [kW],Power-1 [kW],Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [W/m2],Rainfall intensity [mm/h],Rain Day,Hour,DayOfWeek,Month,Season,Public Holiday
2017-01-01 01:00:00,42.7519285,42.99643,8.21,75.0,2.034,3.271,1029.0,1.357,0.0,0.0,1,7,1,1,1
2017-01-01 02:00:00,42.861834,42.7519285,7.58,79.2,3.04,3.522,1028.0,2.604,0.0,0.0,2,7,1,1,1
2017-01-01 03:00:00,42.317769,42.861834,6.968,81.2,4.046,5.032,1028.0,1.44,0.0,0.0,3,7,1,1,1
2017-01-01 04:00:00,42.653385,42.317769,6.797,80.8,3.522,4.277,1028.0,1.773,0.0,0.0,4,7,1,1,1
2017-01-01 05:00:00,42.4377255,42.653385,6.161,81.7,5.22,7.04,1028.0,0.388,0.0,0.0,5,7,1,1,1
2017-01-01 06:00:00,42.307281,42.4377255,5.802,80.5,4.864,6.541,1027.0,0.997,0.0,0.0,6,7,1,1,1
2017-01-01 07:00:00,46.7447975,42.307281,5.525,80.5,3.564,5.283,1027.0,1.191,0.0,0.0,7,7,1,1,1
2017-01-01 08:00:00,46.521709,46.7447975,5.387,80.6,2.222,3.019,1027.0,4.627,0.0,0.0,8,7,1,1,1
2017-01-01 09:00:00,46.554047,46.521709,5.407,80.6,2.809,4.025,1027.0,38.79,0.0,0.0,9,7,1,1,1
2017-01-01 10:00:00,46.689517,46.554047,5.62,80.5,4.822,6.038,1027.0,176.4,0.0,0.0,10,7,1,1,1
2017-01-01 11:00:00,46.7360575,46.689517,6.206,78.4,3.522,4.78,1027.0,159.3,0.0,0.0,11,7,1,1,1
2017-01-01 12:00:00,46.97313,46.7360575,7.25,75.1,3.606,4.277,1026.0,270.5,0.0,0.0,12,7,1,1,1
2017-01-01 13:00:00,47.654413,46.97313,7.82,76.1,1.824,2.516,1024.0,208.4,0.0,0.0,13,7,1,1,1
2017-01-01 14:00:00,47.892578,47.654413,9.28,71.5,1.572,2.013,1023.0,186.7,0.0,0.0,14,7,1,1,1
2017-01-01 15:00:00,47.786387,47.892578,10.1,68.96,1.321,1.761,1023.0,147.7,0.0,0.0,15,7,1,1,1
2017-01-01 16:00:00,48.0199635,47.786387,9.78,71.8,0.0,0.0,1022.0,76.4,0.0,0.0,16,7,1,1,1
2017-01-01 17:00:00,48.2716755,48.0199635,9.26,75.1,1.971,2.516,1022.0,18.42,0.0,0.0,17,7,1,1,1
2017-01-01 18:00:00,48.695784,48.2716755,8.87,76.6,2.6,3.019,1022.0,3.324,0.0,0.0,18,7,1,1,1
2017-01-01 19:00:00,49.652377,48.695784,8.9,75.8,1.761,3.019,1021.0,0.554,0.0,0.0,19,7,1,1,1
2017-01-01 20:00:00,48.608821,49.652377,9.26,76.1,2.558,3.271,1020.0,0.997,0.0,0.0,20,7,1,1,1
2017-01-01 21:00:00,44.7079405,48.608821,9.21,77.8,0.734,1.761,1020.0,1.441,0.0,0.0,21,7,1,1,1
2017-01-01 22:00:00,44.293446,44.7079405,9.51,78.0,1.321,2.013,1019.0,1.496,0.0,0.0,22,7,1,1,1
2017-01-01 23:00:00,43.37662,44.293446,10.09,78.4,1.551,2.264,1018.0,1.745,0.0,0.0,23,7,1,1,1
2017-01-02 00:00:00,43.8776405,43.37662,9.6,81.5,1.174,2.013,1018.0,1.385,0.0,0.0,0,1,1,1,0
2017-01-02 01:00:00,42.577347,43.8776405,9.91,84.4,2.243,3.019,1016.0,1.191,0.0,0.0,1,1,1,1,0
2017-01-02 02:00:00,42.395555,42.577347,10.02,85.1,5.094,5.786,1015.0,1.274,0.0,0.0,2,1,1,1,0
2017-01-02 03:00:00,42.2406385,42.395555,9.82,86.7,6.08,7.3,1015.0,0.028,0.0,0.0,3,1,1,1,0
2017-01-02 04:00:00,42.4233045,42.2406385,9.87,87.1,6.31,8.81,1014.0,1.468,0.0,0.0,4,1,1,1,0
2017-01-02 05:00:00,45.7995665,42.4233045,9.86,86.1,5.346,6.793,1014.0,1.246,0.0,0.0,5,1,1,1,0
2017-01-02 06:00:00,52.5118865,45.7995665,10.42,82.3,7.48,9.06,1013.0,1.856,0.0,0.0,6,1,1,1,0
2017-01-02 07:00:00,86.1429695,52.5118865,10.35,82.5,8.64,9.81,1013.0,1.385,0.0,0.0,7,1,1,1,0
